
Year,Retirement,Disability,Survivor,Post Retirement,Total,Death,
Année,Retraite,Invalidité,Survivant,Après - retraite,Total,Décès,
,#,#,#,,#,#,
1980-1981,"809,806","84,795","242,704",,"1,271,788","4,169",
1981-1982,"872,315","92,227","270,732",,"1,370,699","4,094",
1982-1983,"932,308","101,766","298,919",,"1,471,610","4,599",
1983-1984,"991,999","113,756","328,705",,"1,578,166","4,712",
1984-1985,"1,053,304","124,652","356,290",,"1,676,997","4,576",
1985-1986,"1,130,412","136,825","384,401",,"1,792,307","5,388",
1986-1987,"1,228,784","155,078","423,277",,"1,955,634","5,273",
1987-1988,"1,449,597","163,538","479,611",,"2,243,431","5,854",
1988-1989,"1,588,891","176,475","517,285",,"2,436,215","5,906",
1989-1990,"1,705,387","192,054","552,124",,"2,605,308","6,018",
1990-1991,"1,808,792","202,266","585,319",,"2,754,175","6,132",
1991-1992,"1,907,064","216,603","616,339",,"2,899,589","6,410",
1992-1993,"2,004,390","233,653","648,587",,"3,055,258","6,989",
1993-1994,"2,099,726","258,039","682,000",,"3,220,144","7,372",
1994-1995,"2,191,191","287,664","714,360",,"3,386,633","7,745",
1995-1996,"2,280,364","300,118","743,001",,"3,520,236","7,779",
1996-1997,"2,369,019","297,188","769,492",,"3,628,831","7,791",
1997-1998,"2,453,285","291,216","797,109",,"3,733,108","8,897",
1998-1999,"2,532,188","287,519","823,516",,"3,832,520","8,726",
1999-2000,"2,607,744","287,027","847,905",,"3,928,480","8,786",
2000-2001,"2,695,480","282,111","869,396",,"4,027,734","8,691",
2001-2002,"2,775,480","279,247","890,783",,"4,123,121","8,862",
2002-2003,"2,858,609","282,543","909,006",,"4,226,435","8,867",
2003-2004,"2,954,287","287,787","927,885",,"4,346,110","9,728",
2004-2005,"3,059,461","291,348","945,375",,"4,469,967","9,425",
2005-2006,"3,166,231","296,329","962,428",,"4,597,685","9,749",
2006-2007,"3,288,385","303,900","979,188",,"4,743,841","9,751",
2007-2008,"3,425,009","307,426","994,200",,"4,895,213","10,339",
2008-2009,"3,566,779","311,062","1,008,136",,"5,050,639","10,577",
2009-2010,"3,717,410","315,725","1,022,886",,"5,218,099","10,772",
2010-2011,"3,868,252","320,925","1,033,789",,"5,382,298","10,792",
2011-2012,"4,025,904","326,643","1,043,945",,"5,555,882","10,839",
2012-2013,"4,235,705","329,807","1,055,598","316,305","5,937,415","11,482",
2013-2014,"4,403,448","329,938","1,067,619","448,465","6,249,470","11,297",
2014-2015,"4,564,279","328,967","1,073,976","951,357","6,918,578","11,551",
2015-2016,"4,726,545","332,015","1,085,976","1,322,848","7,467,384","12,469",
2016-2017,"4,891,205","334,685","1,099,257","2,017,207","8,342,353","12,039",
